date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
"5:20 PM GMT on January 02, 2017",2,1029,0,87,3.7,0,-9999,10,Partly Cloudy
"5:50 PM GMT on January 02, 2017",1,1029,-1,87,7.4,290,-9999,10,Partly Cloudy
"6:20 PM GMT on January 02, 2017",2,1029,-1,81,7.4,280,-9999,10,Partly Cloudy
"6:50 PM GMT on January 02, 2017",1,1029,-1,87,7.4,260,-9999,10,Partly Cloudy
"7:20 PM GMT on January 02, 2017",1,1029,-2,81,9.3,270,-9999,10,Partly Cloudy
"7:50 PM GMT on January 02, 2017",0,1029,-2,87,7.4,270,-9999,10,Partly Cloudy
"8:20 PM GMT on January 02, 2017",0,1029,-2,87,5.6,280,-9999,10,Partly Cloudy
"8:50 PM GMT on January 02, 2017",-1,1029,-2,93,7.4,280,-9999,10,Partly Cloudy
"9:20 PM GMT on January 02, 2017",0,1029,-2,87,9.3,260,-9999,-9999,Clear
"9:50 PM GMT on January 02, 2017",0,1029,-2,87,9.3,280,-9999,-9999,Clear
"10:20 PM GMT on January 02, 2017",-1,1029,-3,86,9.3,290,-9999,-9999,Clear
"10:50 PM GMT on January 02, 2017",-1,1029,-3,86,9.3,270,-9999,-9999,Clear
"11:20 PM GMT on January 02, 2017",-1,1029,-3,86,7.4,280,-9999,-9999,Clear
"11:50 PM GMT on January 02, 2017",0,1029,-3,80,7.4,300,-9999,-9999,Clear
"12:50 AM GMT on January 03, 2017",-1,1029,-3,86,9.3,280,-9999,-9999,Clear
"1:50 AM GMT on January 03, 2017",0,1029,-2,87,9.3,270,-9999,-9999,Clear
"2:50 AM GMT on January 03, 2017",-1,1029,-3,86,7.4,280,-9999,-9999,Clear
"3:50 AM GMT on January 03, 2017",-1,1028,-3,86,5.6,260,-9999,-9999,Clear
"4:50 AM GMT on January 03, 2017",-1,1028,-3,86,5.6,260,-9999,-9999,Clear
"5:20 AM GMT on January 03, 2017",-1,1028,-2,93,7.4,260,-9999,-9999,Clear
"5:50 AM GMT on January 03, 2017",0,1028,-2,87,13,270,-9999,-9999,Clear
"6:20 AM GMT on January 03, 2017",1,1028,-1,87,14.8,270,-9999,-9999,Clear
"6:50 AM GMT on January 03, 2017",1,1028,-1,87,16.7,270,-9999,10,Mostly Cloudy
"7:20 AM GMT on January 03, 2017",1,1028,-1,87,13,270,-9999,10,Mostly Cloudy
"7:50 AM GMT on January 03, 2017",0,1028,-2,87,16.7,260,-9999,10,Mostly Cloudy
"8:20 AM GMT on January 03, 2017",1,1028,-2,81,16.7,250,-9999,10,Mostly Cloudy
"8:50 AM GMT on January 03, 2017",1,1028,-2,81,14.8,250,-9999,10,Mostly Cloudy
"9:20 AM GMT on January 03, 2017",1,1028,-2,81,14.8,250,-9999,10,Mostly Cloudy
"9:50 AM GMT on January 03, 2017",1,1028,-1,87,16.7,250,-9999,10,Scattered Clouds
"10:20 AM GMT on January 03, 2017",3,1027,-1,75,18.5,260,-9999,10,Partly Cloudy
"10:50 AM GMT on January 03, 2017",3,1027,-1,75,22.2,260,-9999,10,Scattered Clouds
"11:20 AM GMT on January 03, 2017",4,1027,0,75,22.2,260,-9999,10,Partly Cloudy
"11:50 AM GMT on January 03, 2017",5,1026,0,70,24.1,260,-9999,10,Partly Cloudy
"12:20 PM GMT on January 03, 2017",5,1026,0,70,22.2,250,-9999,10,Partly Cloudy
"12:50 PM GMT on January 03, 2017",4,1026,0,75,22.2,250,-9999,10,Scattered Clouds
"1:20 PM GMT on January 03, 2017",5,1026,1,76,18.5,260,-9999,10,Scattered Clouds
"1:50 PM GMT on January 03, 2017",5,1025,0,70,24.1,260,-9999,10,Mostly Cloudy
"2:20 PM GMT on January 03, 2017",5,1025,0,70,22.2,260,-9999,10,Mostly Cloudy
"2:50 PM GMT on January 03, 2017",5,1025,1,76,20.4,260,-9999,10,Mostly Cloudy
"3:20 PM GMT on January 03, 2017",5,1025,1,76,20.4,260,-9999,10,Scattered Clouds
"3:50 PM GMT on January 03, 2017",6,1025,1,70,20.4,260,-9999,10,Scattered Clouds
"4:20 PM GMT on January 03, 2017",5,1024,0,70,25.9,270,-9999,10,Scattered Clouds
"4:50 PM GMT on January 03, 2017",5,1024,0,70,24.1,260,-9999,10,Mostly Cloudy
"5:20 PM GMT on January 03, 2017",5,1024,0,70,24.1,260,-9999,10,Mostly Cloudy
"5:50 PM GMT on January 03, 2017",5,1024,0,70,22.2,260,-9999,10,Mostly Cloudy
"6:20 PM GMT on January 03, 2017",5,1024,0,70,18.5,260,-9999,10,Scattered Clouds
"6:50 PM GMT on January 03, 2017",4,1024,0,75,18.5,250,-9999,10,Scattered Clouds
"7:20 PM GMT on January 03, 2017",4,1024,0,75,16.7,260,-9999,10,Scattered Clouds
"7:50 PM GMT on January 03, 2017",4,1024,0,75,20.4,270,-9999,10,Mostly Cloudy
"8:20 PM GMT on January 03, 2017",5,1023,1,76,16.7,260,-9999,10,Mostly Cloudy
"8:50 PM GMT on January 03, 2017",4,1023,1,81,16.7,260,-9999,10,Mostly Cloudy
"9:20 PM GMT on January 03, 2017",5,1023,1,76,20.4,260,-9999,10,Mostly Cloudy
"9:50 PM GMT on January 03, 2017",5,1023,1,76,16.7,260,-9999,10,Mostly Cloudy
"10:20 PM GMT on January 03, 2017",5,1023,1,76,18.5,260,-9999,10,Mostly Cloudy
"10:50 PM GMT on January 03, 2017",5,1023,1,76,14.8,250,-9999,10,Mostly Cloudy
"11:20 PM GMT on January 03, 2017",4,1022,1,81,20.4,250,-9999,10,Scattered Clouds
"11:50 PM GMT on January 03, 2017",4,1022,1,81,14.8,260,-9999,10,Partly Cloudy
"12:50 AM GMT on January 04, 2017",5,1022,1,76,16.7,270,-9999,10,Mostly Cloudy
"1:50 AM GMT on January 04, 2017",5,1022,1,76,24.1,260,-9999,10,Mostly Cloudy
