date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
"10:20 AM GMT on January 26, 2017",-1,1021,-4,80,20.4,150,-9999,8,Mostly Cloudy
"10:50 AM GMT on January 26, 2017",-2,1021,-5,80,16.7,150,-9999,8,Mostly Cloudy
"11:20 AM GMT on January 26, 2017",-2,1021,-5,80,18.5,160,-9999,8,Mostly Cloudy
"11:50 AM GMT on January 26, 2017",-2,1021,-5,80,18.5,160,-9999,8,Mostly Cloudy
"12:20 PM GMT on January 26, 2017",-2,1020,-5,80,16.7,150,-9999,8,Mostly Cloudy
"12:50 PM GMT on January 26, 2017",-2,1020,-5,80,16.7,160,-9999,8,Mostly Cloudy
"1:20 PM GMT on January 26, 2017",-1,1019,-4,80,16.7,160,-9999,7,Mostly Cloudy
"1:50 PM GMT on January 26, 2017",-1,1019,-4,80,18.5,160,-9999,7,Mostly Cloudy
"2:20 PM GMT on January 26, 2017",-1,1019,-5,75,16.7,150,-9999,7,Mostly Cloudy
"2:50 PM GMT on January 26, 2017",-1,1019,-5,75,16.7,170,-9999,7,Mostly Cloudy
"3:20 PM GMT on January 26, 2017",-2,1019,-5,80,13,150,-9999,7,Mostly Cloudy
"3:50 PM GMT on January 26, 2017",-2,1019,-5,80,14.8,150,-9999,7,Mostly Cloudy
"4:20 PM GMT on January 26, 2017",-2,1019,-5,80,13,150,-9999,6,Mostly Cloudy
"4:50 PM GMT on January 26, 2017",-3,1019,-5,86,9.3,120,-9999,6,Partly Cloudy
"5:20 PM GMT on January 26, 2017",-3,1019,-5,86,9.3,100,-9999,6,Partly Cloudy
"5:50 PM GMT on January 26, 2017",-3,1019,-5,86,9.3,100,-9999,6,Partly Cloudy
"6:20 PM GMT on January 26, 2017",-2,1019,-3,93,5.6,110,-9999,6,Partly Cloudy
"6:50 PM GMT on January 26, 2017",-4,1018,-6,86,7.4,80,-9999,6,Unknown
"7:20 PM GMT on January 26, 2017",-3,1018,-5,86,3.7,80,-9999,4,Haze
"7:50 PM GMT on January 26, 2017",-3,1017,-4,93,3.7,80,-9999,6,Unknown
"8:20 PM GMT on January 26, 2017",-3,1017,-5,86,5.6,80,-9999,6,Unknown
"8:50 PM GMT on January 26, 2017",-3,1017,-5,86,5.6,120,-9999,7,Unknown
"9:20 PM GMT on January 26, 2017",-3,1017,-5,86,7.4,140,-9999,6,Unknown
"9:50 PM GMT on January 26, 2017",-1,1017,-3,86,13,130,-9999,7,Unknown
"10:20 PM GMT on January 26, 2017",0,1017,-2,87,13,130,-9999,6,Unknown
"10:50 PM GMT on January 26, 2017",0,1016,-3,80,11.1,130,-9999,5,Haze
"11:50 PM GMT on January 26, 2017",-1,1015,-3,86,7.4,100,-9999,5,Haze
"1:50 AM GMT on January 27, 2017",-2,1014,-3,93,9.3,110,-9999,5,Haze
"2:50 AM GMT on January 27, 2017",-1,1013,-2,93,9.3,80,-9999,5,Haze
"3:50 AM GMT on January 27, 2017",-1,1012,-2,93,9.3,80,-9999,5,Haze
"4:50 AM GMT on January 27, 2017",-1,1012,-3,86,9.3,120,-9999,5,Haze
"5:50 AM GMT on January 27, 2017",1,1011,-1,87,7.4,100,-9999,5,Haze
"6:20 AM GMT on January 27, 2017",0,1011,-1,93,9.3,90,-9999,6,Unknown
"6:50 AM GMT on January 27, 2017",1,1011,-1,87,11.1,100,-9999,7,Unknown
"7:20 AM GMT on January 27, 2017",1,1011,-1,87,16.7,120,-9999,6,Partly Cloudy
"7:50 AM GMT on January 27, 2017",1,1011,-1,87,13,140,-9999,6,Scattered Clouds
"8:20 AM GMT on January 27, 2017",1,1011,-3,75,16.7,150,-9999,6,Mostly Cloudy
"8:50 AM GMT on January 27, 2017",2,1012,0,87,11.1,130,-9999,6,Mostly Cloudy
"9:20 AM GMT on January 27, 2017",2,1011,0,87,14.8,160,-9999,6,Mostly Cloudy
"9:50 AM GMT on January 27, 2017",3,1012,0,81,14.8,170,-9999,6,Mostly Cloudy
"10:20 AM GMT on January 27, 2017",2,1012,-1,81,14.8,150,-9999,6,Mostly Cloudy
"10:50 AM GMT on January 27, 2017",2,1012,0,87,14.8,150,-9999,6,Mostly Cloudy
"11:20 AM GMT on January 27, 2017",3,1012,1,87,16.7,140,-9999,6,Mostly Cloudy
"11:50 AM GMT on January 27, 2017",4,1011,1,81,14.8,160,-9999,6,Scattered Clouds
"12:20 PM GMT on January 27, 2017",4,1011,1,81,7.4,130,-9999,7,Partly Cloudy
"12:50 PM GMT on January 27, 2017",5,1010,1,76,11.1,110,-9999,7,Partly Cloudy
"1:20 PM GMT on January 27, 2017",5,1010,1,76,9.3,100,-9999,6,Partly Cloudy
"1:50 PM GMT on January 27, 2017",5,1010,1,76,11.1,120,-9999,7,Unknown
"2:20 PM GMT on January 27, 2017",4,1010,1,81,16.7,140,-9999,7,Unknown
"2:50 PM GMT on January 27, 2017",4,1010,1,81,11.1,110,-9999,7,Unknown
"3:20 PM GMT on January 27, 2017",4,1010,1,81,13,100,-9999,7,Unknown
"3:50 PM GMT on January 27, 2017",4,1011,1,81,9.3,90,-9999,7,Unknown
"4:20 PM GMT on January 27, 2017",4,1011,1,81,5.6,0,-9999,8,Unknown
"4:50 PM GMT on January 27, 2017",3,1011,1,87,5.6,50,-9999,8,Unknown
"5:20 PM GMT on January 27, 2017",3,1011,1,87,5.6,50,-9999,8,Unknown
"5:50 PM GMT on January 27, 2017",3,1011,1,87,5.6,100,-9999,9,Unknown
"6:20 PM GMT on January 27, 2017",3,1011,1,87,7.4,130,-9999,9,Unknown
"6:50 PM GMT on January 27, 2017",3,1011,1,87,9.3,150,-9999,9,Unknown
"7:20 PM GMT on January 27, 2017",7,1011,4,81,9.3,150,-9999,9,Unknown
"7:50 PM GMT on January 27, 2017",7,1011,4,81,9.3,150,-9999,9,Unknown
"8:50 PM GMT on January 27, 2017",4,1010,1,81,3.7,170,-9999,9,Unknown
"9:20 PM GMT on January 27, 2017",6,1010,3,81,3.7,80,-9999,9,Unknown
"9:50 PM GMT on January 27, 2017",3,1010,1,87,3.7,30,-9999,-9999,Clear
"10:50 PM GMT on January 27, 2017",3,1010,1,87,5.6,30,-9999,-9999,Clear
"11:50 PM GMT on January 27, 2017",2,1010,0,87,3.7,10,-9999,-9999,Clear
"12:50 AM GMT on January 28, 2017",4,1009,2,87,7.4,140,-9999,-9999,Clear
"1:50 AM GMT on January 28, 2017",6,1009,3,81,20.4,150,-9999,9,Partly Cloudy
"3:50 AM GMT on January 28, 2017",6,1008,3,81,20.4,160,-9999,-9999,Clear
"4:20 AM GMT on January 28, 2017",7,1008,3,76,18.5,160,-9999,-9999,Clear
"4:50 AM GMT on January 28, 2017",6,1008,3,81,16.7,160,-9999,9,Partly Cloudy
"5:20 AM GMT on January 28, 2017",6,1008,3,81,14.8,160,-9999,-9999,Clear
"5:50 AM GMT on January 28, 2017",7,1008,3,76,14.8,160,-9999,10,Light Rain
"6:20 AM GMT on January 28, 2017",6,1008,3,81,18.5,180,-9999,10,Light Rain
"6:50 AM GMT on January 28, 2017",7,1008,3,76,24.1,170,-9999,10,Partly Cloudy
"7:20 AM GMT on January 28, 2017",7,1008,4,81,25.9,170,-9999,10,Scattered Clouds
"7:50 AM GMT on January 28, 2017",6,1008,3,81,27.8,170,-9999,10,Scattered Clouds
"8:20 AM GMT on January 28, 2017",7,1008,3,76,24.1,170,-9999,10,Scattered Clouds
"8:50 AM GMT on January 28, 2017",8,1008,4,76,24.1,170,-9999,10,Mostly Cloudy
"9:20 AM GMT on January 28, 2017",8,1008,4,76,20.4,170,-9999,10,Mostly Cloudy
"9:50 AM GMT on January 28, 2017",8,1009,5,81,22.2,170,-9999,10,Mostly Cloudy
"10:20 AM GMT on January 28, 2017",8,1009,5,81,22.2,180,-9999,10,Mostly Cloudy
"10:50 AM GMT on January 28, 2017",9,1009,5,76,27.8,220,-9999,10,Mostly Cloudy
"11:20 AM GMT on January 28, 2017",9,1010,5,76,27.8,220,-9999,10,Scattered Clouds
"11:50 AM GMT on January 28, 2017",9,1010,3,66,27.8,240,-9999,10,Partly Cloudy
"12:20 PM GMT on January 28, 2017",10,1010,3,62,25.9,230,-9999,10,Partly Cloudy
"12:50 PM GMT on January 28, 2017",11,1010,4,62,25.9,230,-9999,10,Partly Cloudy
"1:20 PM GMT on January 28, 2017",9,1010,3,66,24.1,220,-9999,10,Partly Cloudy
"1:50 PM GMT on January 28, 2017",9,1010,3,66,24.1,230,-9999,10,Partly Cloudy
"2:20 PM GMT on January 28, 2017",9,1011,3,66,20.4,210,-9999,10,Partly Cloudy
"2:50 PM GMT on January 28, 2017",9,1011,3,66,20.4,210,-9999,10,Partly Cloudy
"3:20 PM GMT on January 28, 2017",9,1011,4,71,20.4,200,-9999,10,Partly Cloudy
"3:50 PM GMT on January 28, 2017",9,1011,4,71,22.2,200,-9999,10,Partly Cloudy
"4:20 PM GMT on January 28, 2017",8,1011,4,76,18.5,200,-9999,10,Partly Cloudy
"4:50 PM GMT on January 28, 2017",7,1011,3,76,20.4,210,-9999,10,Partly Cloudy
"5:20 PM GMT on January 28, 2017",6,1012,2,76,18.5,200,-9999,10,Partly Cloudy
"5:50 PM GMT on January 28, 2017",7,1012,3,76,24.1,210,-9999,10,Partly Cloudy
"6:20 PM GMT on January 28, 2017",5,1012,2,81,18.5,220,-9999,10,Partly Cloudy
"6:50 PM GMT on January 28, 2017",5,1013,2,81,18.5,230,-9999,10,Partly Cloudy
"7:20 PM GMT on January 28, 2017",5,1013,2,81,18.5,220,-9999,-9999,Clear
"7:50 PM GMT on January 28, 2017",5,1013,2,81,14.8,210,-9999,-9999,Clear
"8:20 PM GMT on January 28, 2017",5,1014,2,81,14.8,220,-9999,-9999,Clear
"8:50 PM GMT on January 28, 2017",5,1014,2,81,14.8,200,-9999,-9999,Clear
"9:20 PM GMT on January 28, 2017",5,1014,2,81,13,200,-9999,-9999,Clear
"9:50 PM GMT on January 28, 2017",4,1014,1,81,11.1,200,-9999,-9999,Clear
"10:20 PM GMT on January 28, 2017",3,1014,1,87,11.1,210,-9999,-9999,Clear
"10:50 PM GMT on January 28, 2017",4,1014,2,87,11.1,200,-9999,-9999,Clear
"11:20 PM GMT on January 28, 2017",4,1014,1,81,13,210,-9999,-9999,Clear
"11:50 PM GMT on January 28, 2017",4,1014,1,81,13,200,-9999,-9999,Clear
"1:20 AM GMT on January 29, 2017",4,1013,1,81,16.7,200,-9999,-9999,Clear
"1:50 AM GMT on January 29, 2017",4,1013,2,87,18.5,210,-9999,-9999,Clear
"3:20 AM GMT on January 29, 2017",5,1013,2,81,16.7,210,-9999,10,Mostly Cloudy
"4:50 AM GMT on January 29, 2017",4,1014,2,87,16.7,210,-9999,10,Partly Cloudy
"5:20 AM GMT on January 29, 2017",3,1014,1,87,11.1,210,-9999,-9999,Clear
"5:50 AM GMT on January 29, 2017",3,1014,1,87,11.1,210,-9999,-9999,Clear
"6:20 AM GMT on January 29, 2017",3,1014,2,93,14.8,210,-9999,-9999,Clear
"6:50 AM GMT on January 29, 2017",3,1014,1,87,13,220,-9999,-9999,Clear
"7:20 AM GMT on January 29, 2017",2,1014,0,87,13,220,-9999,-9999,Clear
"7:50 AM GMT on January 29, 2017",3,1014,1,87,13,220,-9999,-9999,Clear
"9:20 AM GMT on January 29, 2017",4,1015,2,87,11.1,210,-9999,10,Partly Cloudy
"9:50 AM GMT on January 29, 2017",5,1015,3,87,11.1,210,-9999,10,Partly Cloudy
"10:20 AM GMT on January 29, 2017",6,1014,4,87,16.7,210,-9999,10,Partly Cloudy
"10:50 AM GMT on January 29, 2017",7,1014,5,87,16.7,210,-9999,10,Partly Cloudy
"11:20 AM GMT on January 29, 2017",7,1014,5,87,20.4,210,-9999,10,Partly Cloudy
"11:50 AM GMT on January 29, 2017",8,1014,5,81,20.4,210,-9999,10,Mostly Cloudy
"12:20 PM GMT on January 29, 2017",7,1014,4,81,20.4,210,-9999,10,Mostly Cloudy
"12:50 PM GMT on January 29, 2017",8,1013,5,81,18.5,190,-9999,10,Partly Cloudy
"1:50 PM GMT on January 29, 2017",9,1012,5,76,22.2,190,-9999,10,Partly Cloudy
"2:20 PM GMT on January 29, 2017",9,1012,5,76,22.2,190,-9999,10,Partly Cloudy
"2:50 PM GMT on January 29, 2017",8,1012,5,81,18.5,190,-9999,10,Partly Cloudy
"3:20 PM GMT on January 29, 2017",8,1012,5,81,18.5,180,-9999,10,Scattered Clouds
"3:50 PM GMT on January 29, 2017",8,1012,5,81,20.4,190,-9999,9,Light Rain
"4:20 PM GMT on January 29, 2017",8,1012,5,81,20.4,180,-9999,9,Light Rain
"4:50 PM GMT on January 29, 2017",7,1011,4,81,20.4,170,-9999,9,Light Rain
"5:20 PM GMT on January 29, 2017",7,1011,4,81,18.5,160,-9999,9,Light Rain
"6:20 PM GMT on January 29, 2017",6,1010,5,93,22.2,150,-9999,10,Light Rain
"6:50 PM GMT on January 29, 2017",8,1009,6,87,13,140,-9999,10,Rain
"7:20 PM GMT on January 29, 2017",8,1009,6,87,13,150,-9999,10,Rain
"7:50 PM GMT on January 29, 2017",6,1008,5,93,20.4,160,-9999,10,Light Rain
"8:20 PM GMT on January 29, 2017",7,1008,5,87,20.4,160,-9999,8,Light Rain
"8:50 PM GMT on January 29, 2017",7,1007,5,87,25.9,170,-9999,7,Light Rain
"9:20 PM GMT on January 29, 2017",7,1007,6,93,24.1,180,-9999,4.5,Light Rain
"10:20 PM GMT on January 29, 2017",8,1006,6,87,20.4,190,-9999,4.5,Light Rain
"10:50 PM GMT on January 29, 2017",8,1006,7,93,22.2,210,-9999,3.5,Rain
"11:20 PM GMT on January 29, 2017",8,1006,7,93,24.1,210,-9999,-9999,Rain
"11:50 PM GMT on January 29, 2017",8,1006,7,93,22.2,210,-9999,7,Light Rain
"12:50 AM GMT on January 30, 2017",9,1006,7,87,14.8,220,-9999,8,Mostly Cloudy
"1:50 AM GMT on January 30, 2017",9,1006,8,93,20.4,230,-9999,4,Light Rain
"2:50 AM GMT on January 30, 2017",10,1007,8,87,13,280,-9999,6,Light Rain
"3:50 AM GMT on January 30, 2017",8,1007,7,93,11.1,310,-9999,8,Mostly Cloudy
"4:50 AM GMT on January 30, 2017",8,1008,7,93,9.3,300,-9999,8,Mostly Cloudy
"5:50 AM GMT on January 30, 2017",7,1008,6,93,9.3,320,-9999,8,Mostly Cloudy
"6:20 AM GMT on January 30, 2017",6,1008,5,93,13,350,-9999,8,Mostly Cloudy
"6:50 AM GMT on January 30, 2017",6,1009,5,93,13,350,-9999,8,Mostly Cloudy
"7:20 AM GMT on January 30, 2017",6,1010,4,87,9.3,330,-9999,8,Overcast
"7:50 AM GMT on January 30, 2017",6,1010,5,93,5.6,310,-9999,8,Overcast
"9:20 AM GMT on January 30, 2017",5,1011,4,93,7.4,340,-9999,8,Mostly Cloudy
"9:50 AM GMT on January 30, 2017",6,1011,4,87,9.3,330,-9999,8,Mostly Cloudy
"10:20 AM GMT on January 30, 2017",6,1012,4,87,7.4,350,-9999,8,Mostly Cloudy
"10:50 AM GMT on January 30, 2017",6,1012,4,87,5.6,310,-9999,8,Mostly Cloudy
"11:20 AM GMT on January 30, 2017",7,1012,5,87,7.4,330,-9999,9,Mostly Cloudy
"11:50 AM GMT on January 30, 2017",7,1011,5,87,9.3,50,-9999,9,Mostly Cloudy
"12:20 PM GMT on January 30, 2017",7,1012,5,87,3.7,40,-9999,9,Mostly Cloudy
"12:50 PM GMT on January 30, 2017",7,1012,4,81,7.4,30,-9999,9,Mostly Cloudy
"1:20 PM GMT on January 30, 2017",6,1012,3,81,5.6,360,-9999,10,Mostly Cloudy
"1:50 PM GMT on January 30, 2017",6,1012,3,81,5.6,360,-9999,10,Mostly Cloudy
"2:20 PM GMT on January 30, 2017",6,1011,3,81,11.1,40,-9999,10,Mostly Cloudy
"2:50 PM GMT on January 30, 2017",6,1012,4,87,5.6,50,-9999,10,Mostly Cloudy
"3:20 PM GMT on January 30, 2017",6,1012,4,87,3.7,40,-9999,10,Mostly Cloudy
"3:50 PM GMT on January 30, 2017",6,1012,4,87,7.4,150,-9999,10,Mostly Cloudy
"4:20 PM GMT on January 30, 2017",7,1012,4,81,5.6,100,-9999,10,Mostly Cloudy
"4:50 PM GMT on January 30, 2017",6,1013,4,87,3.7,140,-9999,10,Mostly Cloudy
"5:20 PM GMT on January 30, 2017",6,1013,4,87,9.3,60,-9999,10,Mostly Cloudy
"5:50 PM GMT on January 30, 2017",7,1013,4,81,9.3,70,-9999,10,Mostly Cloudy
"6:20 PM GMT on January 30, 2017",6,1013,3,81,11.1,80,-9999,10,Mostly Cloudy
"6:50 PM GMT on January 30, 2017",6,1013,4,87,14.8,80,-9999,10,Mostly Cloudy
"7:20 PM GMT on January 30, 2017",6,1014,4,87,11.1,90,-9999,10,Mostly Cloudy
"7:50 PM GMT on January 30, 2017",5,1014,3,87,11.1,90,-9999,10,Mostly Cloudy
"8:20 PM GMT on January 30, 2017",5,1014,3,87,11.1,70,-9999,10,Mostly Cloudy
"8:50 PM GMT on January 30, 2017",5,1014,3,87,13,70,-9999,10,Mostly Cloudy
"9:20 PM GMT on January 30, 2017",5,1014,3,87,9.3,80,-9999,10,Mostly Cloudy
"9:50 PM GMT on January 30, 2017",5,1014,3,87,11.1,80,-9999,10,Mostly Cloudy
"10:20 PM GMT on January 30, 2017",5,1014,3,87,13,100,-9999,10,Mostly Cloudy
"10:50 PM GMT on January 30, 2017",5,1014,3,87,13,100,-9999,10,Mostly Cloudy
"11:20 PM GMT on January 30, 2017",5,1014,3,87,13,110,-9999,10,Mostly Cloudy
"11:50 PM GMT on January 30, 2017",6,1014,3,81,13,100,-9999,10,Mostly Cloudy
"12:50 AM GMT on January 31, 2017",5,1014,3,87,16.7,100,-9999,10,Mostly Cloudy
"1:50 AM GMT on January 31, 2017",5,1014,4,93,16.7,110,-9999,6,Light Drizzle
"2:50 AM GMT on January 31, 2017",5,1014,3,87,18.5,110,-9999,10,Light Drizzle
"3:50 AM GMT on January 31, 2017",4,1014,3,93,16.7,100,-9999,10,Overcast
"4:50 AM GMT on January 31, 2017",4,1014,3,93,20.4,110,-9999,7,Light Drizzle
"5:50 AM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,10,Overcast
"6:20 AM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,9,Light Drizzle
"6:50 AM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,9,Light Drizzle
"7:20 AM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,9,Mostly Cloudy
"8:20 AM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,9,Mostly Cloudy
"8:50 AM GMT on January 31, 2017",4,1014,3,93,16.7,110,-9999,9,Mostly Cloudy
"9:20 AM GMT on January 31, 2017",4,1015,3,93,14.8,120,-9999,9,Mostly Cloudy
"9:50 AM GMT on January 31, 2017",4,1015,3,93,20.4,120,-9999,2.5,Mostly Cloudy
"10:20 AM GMT on January 31, 2017",4,1015,3,93,20.4,110,-9999,1.8,Mostly Cloudy
"10:50 AM GMT on January 31, 2017",3,1015,2,93,20.4,110,-9999,2.3,Mostly Cloudy
"11:20 AM GMT on January 31, 2017",4,1015,3,93,22.2,120,-9999,2.3,Mostly Cloudy
"11:50 AM GMT on January 31, 2017",4,1015,3,93,16.7,120,-9999,2.3,Mostly Cloudy
"12:20 PM GMT on January 31, 2017",4,1014,3,93,16.7,120,-9999,2.3,Mostly Cloudy
"12:50 PM GMT on January 31, 2017",5,1014,3,87,16.7,120,-9999,2.3,Overcast
"1:20 PM GMT on January 31, 2017",5,1014,4,93,18.5,120,-9999,2.3,Overcast
"1:50 PM GMT on January 31, 2017",4,1014,3,93,18.5,110,-9999,2.3,Overcast
"2:20 PM GMT on January 31, 2017",5,1014,4,93,14.8,120,-9999,2.3,Overcast
"3:20 PM GMT on January 31, 2017",5,1013,4,93,13,110,-9999,1.1,Light Rain
"3:50 PM GMT on January 31, 2017",5,1013,4,93,11.1,110,-9999,1.1,Light Rain
"4:20 PM GMT on January 31, 2017",5,1013,4,93,13,100,-9999,1.1,Light Rain
"4:50 PM GMT on January 31, 2017",5,1013,4,93,13,120,-9999,1.1,Light Rain
"5:20 PM GMT on January 31, 2017",5,1013,4,93,11.1,120,-9999,1.5,Light Rain
"5:50 PM GMT on January 31, 2017",5,1013,4,93,11.1,120,-9999,1.5,Light Rain
"6:20 PM GMT on January 31, 2017",6,1013,5,93,13,120,-9999,3,Light Rain
"6:50 PM GMT on January 31, 2017",6,1013,4,87,13,110,-9999,2.5,Light Rain
"7:20 PM GMT on January 31, 2017",6,1013,4,87,13,120,-9999,1.5,Light Rain
"7:50 PM GMT on January 31, 2017",6,1013,4,87,13,120,-9999,1.5,Light Rain
"8:20 PM GMT on January 31, 2017",6,1013,5,93,11.1,120,-9999,1.5,Light Rain
"8:50 PM GMT on January 31, 2017",6,1013,5,93,7.4,120,-9999,1.5,Light Rain
"9:20 PM GMT on January 31, 2017",6,1013,5,93,9.3,110,-9999,1.5,Light Rain
"9:50 PM GMT on January 31, 2017",6,1013,5,93,9.3,110,-9999,1.9,Light Rain
"10:20 PM GMT on January 31, 2017",5,1012,4,93,11.1,110,-9999,2,Light Rain
"10:50 PM GMT on January 31, 2017",6,1012,5,93,7.4,140,-9999,2.3,Light Rain
"11:20 PM GMT on January 31, 2017",6,1012,5,93,7.4,100,-9999,2.6,Light Rain
"11:50 PM GMT on January 31, 2017",6,1012,5,93,9.3,100,-9999,2.6,Light Rain
"12:20 AM GMT on February 01, 2017",7,1011,6,93,9.3,130,-9999,2.9,Light Rain
"12:50 AM GMT on February 01, 2017",8,1011,7,93,7.4,130,-9999,-9999,Light Drizzle
"1:50 AM GMT on February 01, 2017",9,1011,8,93,7.4,150,-9999,2.8,Light Drizzle
"2:50 AM GMT on February 01, 2017",8,1010,7,93,5.6,100,-9999,3,Light Drizzle
"4:20 AM GMT on February 01, 2017",9,1010,8,93,7.4,140,-9999,3.5,Overcast
"4:50 AM GMT on February 01, 2017",9,1009,8,93,16.7,160,-9999,3.5,Overcast
"5:20 AM GMT on February 01, 2017",9,1009,8,93,18.5,160,-9999,4,Overcast
"5:50 AM GMT on February 01, 2017",9,1009,8,93,13,160,-9999,4.5,Mostly Cloudy
"6:20 AM GMT on February 01, 2017",9,1009,8,93,14.8,160,-9999,-9999,Overcast
"6:50 AM GMT on February 01, 2017",10,1009,8,87,14.8,160,-9999,4,Overcast
"7:20 AM GMT on February 01, 2017",9,1008,8,93,16.7,160,-9999,4,Overcast
"7:50 AM GMT on February 01, 2017",9,1008,8,93,13,160,-9999,4,Overcast
"8:20 AM GMT on February 01, 2017",9,1008,8,93,14.8,150,-9999,4,Overcast
"8:50 AM GMT on February 01, 2017",9,1008,8,93,14.8,150,-9999,4,Overcast
"9:20 AM GMT on February 01, 2017",9,1008,8,93,13,160,-9999,4,Overcast
"9:50 AM GMT on February 01, 2017",9,1008,8,93,14.8,160,-9999,4,Overcast
"10:20 AM GMT on February 01, 2017",10,1008,8,87,16.7,170,-9999,8,Mostly Cloudy
"10:50 AM GMT on February 01, 2017",10,1008,8,87,22.2,170,-9999,8,Mostly Cloudy
"11:20 AM GMT on February 01, 2017",8,1008,7,93,18.5,170,-9999,3.5,Light Drizzle
"11:50 AM GMT on February 01, 2017",9,1007,8,93,14.8,170,-9999,2.3,Light Rain
"12:20 PM GMT on February 01, 2017",10,1007,9,94,16.7,170,-9999,4,Light Rain
"12:50 PM GMT on February 01, 2017",10,1007,9,94,16.7,170,-9999,7,Overcast
"1:20 PM GMT on February 01, 2017",10,1006,9,94,16.7,180,-9999,6,Mostly Cloudy
"1:50 PM GMT on February 01, 2017",10,1006,8,87,16.7,180,-9999,7,Mostly Cloudy
"2:20 PM GMT on February 01, 2017",10,1005,8,87,16.7,180,-9999,7,Mostly Cloudy
"2:50 PM GMT on February 01, 2017",10,1005,8,87,16.7,190,-9999,7,Light Drizzle
"3:20 PM GMT on February 01, 2017",10,1005,9,94,18.5,180,-9999,7,Light Drizzle
"3:50 PM GMT on February 01, 2017",10,1005,8,87,14.8,180,-9999,5,Haze
"4:20 PM GMT on February 01, 2017",10,1005,8,87,14.8,170,-9999,5,Haze
"4:50 PM GMT on February 01, 2017",10,1005,8,87,18.5,170,-9999,5,Haze
"5:20 PM GMT on February 01, 2017",10,1005,8,87,18.5,190,-9999,6,Mostly Cloudy
"5:50 PM GMT on February 01, 2017",9,1005,8,93,16.7,190,-9999,6,Mostly Cloudy
"6:20 PM GMT on February 01, 2017",9,1005,8,93,16.7,190,-9999,9,Scattered Clouds
"6:50 PM GMT on February 01, 2017",9,1005,8,93,14.8,190,-9999,9,Scattered Clouds
"7:20 PM GMT on February 01, 2017",9,1005,8,93,14.8,180,-9999,9,Mostly Cloudy
"7:50 PM GMT on February 01, 2017",10,1005,8,87,14.8,180,-9999,10,Mostly Cloudy
"8:20 PM GMT on February 01, 2017",9,1004,7,87,20.4,180,-9999,10,Scattered Clouds
"8:50 PM GMT on February 01, 2017",10,1004,7,82,24.1,180,-9999,10,Scattered Clouds
"9:20 PM GMT on February 01, 2017",11,1004,8,82,22.2,180,-9999,10,Mostly Cloudy
"9:50 PM GMT on February 01, 2017",9,1004,7,87,22.2,180,-9999,10,Mostly Cloudy
"10:50 PM GMT on February 01, 2017",10,1003,8,87,22.2,190,-9999,7,Light Rain Showers
"11:50 PM GMT on February 01, 2017",10,1003,8,87,24.1,190,-9999,9,Light Rain Showers
"12:50 AM GMT on February 02, 2017",10,1003,8,87,24.1,190,-9999,9,Overcast
"1:50 AM GMT on February 02, 2017",10,1002,8,87,20.4,190,-9999,9,Mostly Cloudy
"2:50 AM GMT on February 02, 2017",10,1002,7,82,24.1,180,-9999,9,Mostly Cloudy
"3:20 AM GMT on February 02, 2017",10,1002,7,82,20.4,180,-9999,9,Mostly Cloudy
"3:50 AM GMT on February 02, 2017",9,1001,7,87,24.1,170,-9999,9,Mostly Cloudy
"4:50 AM GMT on February 02, 2017",9,1001,7,87,24.1,170,-9999,9,Mostly Cloudy
"5:20 AM GMT on February 02, 2017",9,1001,7,87,25.9,170,-9999,10,Mostly Cloudy
"5:50 AM GMT on February 02, 2017",9,1001,6,82,22.2,190,-9999,10,Mostly Cloudy
"6:20 AM GMT on February 02, 2017",10,1000,7,82,27.8,170,-9999,10,Mostly Cloudy
"6:50 AM GMT on February 02, 2017",9,1000,6,82,22.2,160,-9999,10,Mostly Cloudy
"7:20 AM GMT on February 02, 2017",9,999,6,82,25.9,160,-9999,10,Partly Cloudy
"7:50 AM GMT on February 02, 2017",9,999,6,82,27.8,160,-9999,10,Partly Cloudy
"8:20 AM GMT on February 02, 2017",9,999,6,82,29.6,160,-9999,10,Partly Cloudy
"8:50 AM GMT on February 02, 2017",9,999,7,87,22.2,170,-9999,10,Partly Cloudy
"9:20 AM GMT on February 02, 2017",10,999,7,82,16.7,140,-9999,10,Partly Cloudy
"9:50 AM GMT on February 02, 2017",10,999,7,82,27.8,170,-9999,10,Partly Cloudy
"10:20 AM GMT on February 02, 2017",10,999,7,82,29.6,170,-9999,10,Partly Cloudy
"10:50 AM GMT on February 02, 2017",10,998,7,82,29.6,170,-9999,10,Partly Cloudy
"11:20 AM GMT on February 02, 2017",10,998,6,76,37,180,-9999,10,Partly Cloudy
"11:50 AM GMT on February 02, 2017",10,998,6,76,31.5,180,-9999,10,Partly Cloudy
"12:20 PM GMT on February 02, 2017",10,997,7,82,33.3,180,-9999,10,Scattered Clouds
"12:50 PM GMT on February 02, 2017",11,996,7,76,35.2,180,-9999,10,Light Rain
"1:20 PM GMT on February 02, 2017",10,995,8,87,31.5,160,-9999,10,Light Rain
